building_id,timestamp,consumption_kwh,voltage,current_amp,power_factor,is_peak_hour
LHC,2026-01-01T00:00:00,1.67,240.71,4.01,0.92,False
LHC,2026-01-01T01:00:00,1.43,225.57,3.65,0.91,False
LHC,2026-01-01T02:00:00,1.33,230.82,3.34,0.93,False
LHC,2026-01-01T03:00:00,1.4,237.31,3.41,0.97,False
LHC,2026-01-01T04:00:00,1.12,233.02,2.77,0.91,False
LHC,2026-01-01T05:00:00,1.52,222.62,3.95,0.96,False
LHC,2026-01-01T06:00:00,3.08,231.78,7.67,0.93,False
LHC,2026-01-01T07:00:00,5.76,228.53,14.54,0.92,False
LHC,2026-01-01T08:00:00,8.54,233.32,21.14,0.92,False
LHC,2026-01-01T09:00:00,11.53,226.25,29.43,0.9,False
LHC,2026-01-01T10:00:00,14.93,237.9,36.23,0.91,True
LHC,2026-01-01T11:00:00,15.09,224.03,38.88,0.91,True
LHC,2026-01-01T12:00:00,14.87,237.62,36.12,0.93,True
LHC,2026-01-01T13:00:00,13.43,219.11,35.38,0.89,True
LHC,2026-01-01T14:00:00,14.85,231.62,37.02,0.94,True
LHC,2026-01-01T15:00:00,11.84,232.82,29.36,0.92,True
LHC,2026-01-01T16:00:00,12.8,233.3,31.68,0.99,True
LHC,2026-01-01T17:00:00,10.04,230.48,25.16,0.93,False
LHC,2026-01-01T18:00:00,5.7,224.76,14.63,0.86,False
LHC,2026-01-01T19:00:00,4.12,233.18,10.2,0.89,False
LHC,2026-01-01T20:00:00,4.0,236.52,9.77,0.93,False
LHC,2026-01-01T21:00:00,3.23,225.52,8.27,0.92,False
LHC,2026-01-01T22:00:00,2.76,224.38,7.09,0.95,False
LHC,2026-01-01T23:00:00,2.46,232.29,6.11,0.87,False
LHC,2026-01-02T00:00:00,2.07,231.69,5.16,0.99,False
LHC,2026-01-02T01:00:00,1.43,228.01,3.61,0.92,False
LHC,2026-01-02T02:00:00,1.23,235.21,3.02,0.95,False
LHC,2026-01-02T03:00:00,1.39,227.33,3.53,0.88,False
LHC,2026-01-02T04:00:00,1.3,233.72,3.21,0.91,False
LHC,2026-01-02T05:00:00,1.49,232.51,3.69,0.95,False
LHC,2026-01-02T06:00:00,3.14,231.57,7.84,0.96,False
LHC,2026-01-02T07:00:00,5.47,228.45,13.82,0.94,False
LHC,2026-01-02T08:00:00,8.3,228.16,21.0,0.96,False
LHC,2026-01-02T09:00:00,11.28,216.72,30.06,0.93,False
LHC,2026-01-02T10:00:00,13.43,228.55,33.92,0.93,True
LHC,2026-01-02T11:00:00,14.44,231.07,36.08,0.86,True
LHC,2026-01-02T12:00:00,14.24,237.02,34.69,0.92,True
LHC,2026-01-02T13:00:00,13.08,224.64,33.61,0.89,True
LHC,2026-01-02T14:00:00,14.75,227.84,37.39,0.9,True
LHC,2026-01-02T15:00:00,13.87,232.39,34.46,0.91,True
LHC,2026-01-02T16:00:00,11.76,227.89,29.79,0.93,True
LHC,2026-01-02T17:00:00,9.24,233.84,22.81,0.89,False
LHC,2026-01-02T18:00:00,5.78,233.87,14.27,0.9,False
LHC,2026-01-02T19:00:00,5.13,237.03,12.5,0.96,False
LHC,2026-01-02T20:00:00,3.58,230.38,8.97,0.91,False
LHC,2026-01-02T21:00:00,3.31,238.53,8.01,0.95,False
LHC,2026-01-02T22:00:00,2.47,228.17,6.24,0.94,False
LHC,2026-01-02T23:00:00,1.95,232.68,4.83,0.89,False
LHC,2026-01-03T00:00:00,0.65,233.39,1.6,0.98,False
LHC,2026-01-03T01:00:00,0.57,226.87,1.46,0.9,False
LHC,2026-01-03T02:00:00,0.5,231.89,1.24,0.92,False
LHC,2026-01-03T03:00:00,0.51,229.27,1.27,0.93,False
LHC,2026-01-03T04:00:00,0.52,224.68,1.35,0.92,False
LHC,2026-01-03T05:00:00,0.56,234.6,1.38,0.91,False
LHC,2026-01-03T06:00:00,0.88,235.51,2.15,0.86,False
LHC,2026-01-03T07:00:00,1.14,225.07,2.92,0.89,False
LHC,2026-01-03T08:00:00,1.07,225.98,2.73,0.92,False
LHC,2026-01-03T09:00:00,2.02,227.69,5.12,0.89,False
LHC,2026-01-03T10:00:00,2.6,234.79,6.4,0.93,False
LHC,2026-01-03T11:00:00,2.24,241.37,5.36,0.92,False
LHC,2026-01-03T12:00:00,2.9,222.51,7.52,0.92,False
LHC,2026-01-03T13:00:00,2.73,229.3,6.87,0.95,False
LHC,2026-01-03T14:00:00,2.69,223.28,6.94,0.95,False
LHC,2026-01-03T15:00:00,2.15,229.98,5.4,0.87,False
LHC,2026-01-03T16:00:00,1.94,231.98,4.84,0.87,False
LHC,2026-01-03T17:00:00,1.36,231.64,3.4,0.94,False
LHC,2026-01-03T18:00:00,1.24,231.71,3.09,0.98,False
LHC,2026-01-03T19:00:00,1.17,225.25,3.0,0.9,False
LHC,2026-01-03T20:00:00,0.96,221.25,2.52,0.88,False
LHC,2026-01-03T21:00:00,0.79,224.26,2.02,0.96,False
LHC,2026-01-03T22:00:00,0.78,224.86,1.99,0.95,False
LHC,2026-01-03T23:00:00,0.74,232.09,1.83,0.9,False
LHC,2026-01-04T00:00:00,0.71,249.26,1.64,0.94,False
LHC,2026-01-04T01:00:00,0.59,234.77,1.46,0.94,False
LHC,2026-01-04T02:00:00,0.5,233.79,1.23,0.9,False
LHC,2026-01-04T03:00:00,0.5,227.57,1.27,0.92,False
LHC,2026-01-04T04:00:00,0.56,220.66,1.47,0.94,False
LHC,2026-01-04T05:00:00,0.5,227.64,1.27,0.95,False
LHC,2026-01-04T06:00:00,0.82,224.61,2.1,0.9,False
LHC,2026-01-04T07:00:00,1.07,226.35,2.74,0.93,False
LHC,2026-01-04T08:00:00,1.36,226.74,3.47,0.98,False
LHC,2026-01-04T09:00:00,2.14,219.87,5.62,0.93,False
LHC,2026-01-04T10:00:00,2.25,234.26,5.55,0.9,False
LHC,2026-01-04T11:00:00,2.56,232.52,6.35,0.95,False
LHC,2026-01-04T12:00:00,2.45,228.33,6.21,0.91,False
LHC,2026-01-04T13:00:00,2.44,238.83,5.91,0.93,False
LHC,2026-01-04T14:00:00,2.14,234.59,5.26,0.98,False
LHC,2026-01-04T15:00:00,2.2,222.4,5.72,0.91,False
LHC,2026-01-04T16:00:00,1.87,226.46,4.77,0.93,False
LHC,2026-01-04T17:00:00,1.44,225.37,3.69,0.92,False
LHC,2026-01-04T18:00:00,0.91,224.88,2.32,0.91,False
LHC,2026-01-04T19:00:00,0.92,238.16,2.22,0.88,False
LHC,2026-01-04T20:00:00,0.92,230.65,2.3,0.96,False
LHC,2026-01-04T21:00:00,0.78,235.82,1.91,0.92,False
LHC,2026-01-04T22:00:00,0.75,232.31,1.87,0.93,False
LHC,2026-01-04T23:00:00,0.71,230.35,1.78,0.91,False
LHC,2026-01-05T00:00:00,1.94,228.65,4.91,0.93,False
LHC,2026-01-05T01:00:00,1.74,232.51,4.31,0.95,False
LHC,2026-01-05T02:00:00,1.35,225.66,3.47,0.9,False
LHC,2026-01-05T03:00:00,1.29,230.55,3.22,0.91,False
LHC,2026-01-05T04:00:00,1.57,223.54,4.06,0.97,False
LHC,2026-01-05T05:00:00,1.47,223.81,3.78,0.9,False
LHC,2026-01-05T06:00:00,3.68,229.8,9.24,0.94,False
LHC,2026-01-05T07:00:00,5.48,229.55,13.8,0.9,False
LHC,2026-01-05T08:00:00,8.78,232.47,21.81,0.97,False
LHC,2026-01-05T09:00:00,10.14,238.05,24.59,0.94,False
LHC,2026-01-05T10:00:00,13.89,227.26,35.3,0.95,True
LHC,2026-01-05T11:00:00,15.39,222.33,39.96,0.93,True
LHC,2026-01-05T12:00:00,17.36,234.29,42.78,0.9,True
LHC,2026-01-05T13:00:00,13.91,228.37,35.18,0.99,True
LHC,2026-01-05T14:00:00,13.24,225.79,33.86,0.93,True
LHC,2026-01-05T15:00:00,14.17,229.0,35.73,0.98,True
LHC,2026-01-05T16:00:00,11.86,229.93,29.77,0.93,True
LHC,2026-01-05T17:00:00,8.93,222.8,23.14,0.93,False
LHC,2026-01-05T18:00:00,7.28,232.02,18.13,0.92,False
LHC,2026-01-05T19:00:00,4.8,228.71,12.12,0.96,False
LHC,2026-01-05T20:00:00,3.82,223.22,9.87,0.87,False
LHC,2026-01-05T21:00:00,3.2,235.3,7.85,0.93,False
LHC,2026-01-05T22:00:00,2.48,232.29,6.16,0.93,False
LHC,2026-01-05T23:00:00,2.37,236.63,5.79,0.89,False
LHC,2026-01-06T00:00:00,1.67,229.98,4.2,0.9,False
LHC,2026-01-06T01:00:00,1.42,236.36,3.48,0.94,False
LHC,2026-01-06T02:00:00,1.34,230.44,3.35,0.88,False
LHC,2026-01-06T03:00:00,1.2,228.28,3.04,0.93,False
LHC,2026-01-06T04:00:00,1.29,234.92,3.18,0.93,False
LHC,2026-01-06T05:00:00,1.44,241.38,3.44,0.93,False
LHC,2026-01-06T06:00:00,2.76,239.3,6.66,0.96,False
LHC,2026-01-06T07:00:00,5.73,229.45,14.43,0.95,False
LHC,2026-01-06T08:00:00,6.95,233.92,17.16,0.92,False
LHC,2026-01-06T09:00:00,9.56,235.16,23.48,0.87,False
LHC,2026-01-06T10:00:00,10.9,231.81,27.15,0.94,True
LHC,2026-01-06T11:00:00,14.64,233.71,36.17,0.96,True
LHC,2026-01-06T12:00:00,15.1,229.34,38.02,0.92,True
LHC,2026-01-06T13:00:00,13.7,231.48,34.17,0.89,True
LHC,2026-01-06T14:00:00,13.96,229.57,35.1,0.93,True
LHC,2026-01-06T15:00:00,13.16,217.74,34.89,0.89,True
LHC,2026-01-06T16:00:00,11.34,229.72,28.51,0.93,True
LHC,2026-01-06T17:00:00,8.79,237.58,21.36,0.93,False
LHC,2026-01-06T18:00:00,5.58,222.0,14.51,0.88,False
LHC,2026-01-06T19:00:00,4.47,235.3,10.98,0.97,False
LHC,2026-01-06T20:00:00,3.34,228.48,8.44,0.93,False
LHC,2026-01-06T21:00:00,3.33,230.57,8.34,0.97,False
LHC,2026-01-06T22:00:00,2.32,235.77,5.68,0.95,False
LHC,2026-01-06T23:00:00,2.03,224.9,5.21,0.91,False
LHC,2026-01-07T00:00:00,2.02,230.25,5.06,0.97,False
LHC,2026-01-07T01:00:00,1.82,225.66,4.67,0.92,False
LHC,2026-01-07T02:00:00,1.53,238.59,3.71,0.95,False
LHC,2026-01-07T03:00:00,1.48,231.1,3.69,0.86,False
LHC,2026-01-07T04:00:00,1.61,233.23,3.98,0.96,False
LHC,2026-01-07T05:00:00,1.64,230.64,4.1,0.91,False
LHC,2026-01-07T06:00:00,3.01,226.99,7.65,0.87,False
LHC,2026-01-07T07:00:00,6.22,219.13,16.39,0.98,False
LHC,2026-01-07T08:00:00,7.82,237.5,19.02,0.89,False
LHC,2026-01-07T09:00:00,12.98,226.24,33.12,0.97,False
LHC,2026-01-07T10:00:00,14.96,235.37,36.69,0.92,True
LHC,2026-01-07T11:00:00,16.18,233.08,40.07,0.9,True
LHC,2026-01-07T12:00:00,14.86,223.49,38.4,0.92,True
LHC,2026-01-07T13:00:00,15.6,219.27,41.06,0.94,True
LHC,2026-01-07T14:00:00,14.2,224.2,36.57,0.92,True
LHC,2026-01-07T15:00:00,13.83,230.61,34.63,0.98,True
LHC,2026-01-07T16:00:00,12.85,224.7,33.01,0.93,True
LHC,2026-01-07T17:00:00,9.32,230.12,23.38,0.93,False
LHC,2026-01-07T18:00:00,6.61,230.28,16.56,0.93,False
LHC,2026-01-07T19:00:00,5.6,228.74,14.14,0.92,False
LHC,2026-01-07T20:00:00,4.43,232.36,11.0,0.91,False
LHC,2026-01-07T21:00:00,3.55,225.64,9.09,0.91,False
LHC,2026-01-07T22:00:00,2.49,232.88,6.16,0.96,False
LHC,2026-01-07T23:00:00,2.36,230.38,5.91,0.89,False
LHC,2026-01-08T00:00:00,1.7,237.4,4.15,0.92,False
LHC,2026-01-08T01:00:00,1.32,237.62,3.22,0.94,False
LHC,2026-01-08T02:00:00,1.17,229.05,2.96,0.89,False
LHC,2026-01-08T03:00:00,1.14,234.63,2.8,0.98,False
LHC,2026-01-08T04:00:00,1.14,232.81,2.82,0.9,False
LHC,2026-01-08T05:00:00,1.37,227.04,3.47,0.89,False
LHC,2026-01-08T06:00:00,2.85,225.85,7.3,0.93,False
LHC,2026-01-08T07:00:00,4.96,228.81,12.5,0.89,False
LHC,2026-01-08T08:00:00,7.46,233.78,18.42,0.94,False
LHC,2026-01-08T09:00:00,9.83,230.5,24.62,0.94,False
LHC,2026-01-08T10:00:00,11.08,232.72,27.5,0.9,True
LHC,2026-01-08T11:00:00,14.12,226.18,36.04,0.87,True
LHC,2026-01-08T12:00:00,12.36,230.24,31.0,0.93,True
LHC,2026-01-08T13:00:00,12.92,233.19,32.0,0.87,True
LHC,2026-01-08T14:00:00,13.43,223.94,34.63,0.9,True
LHC,2026-01-08T15:00:00,12.84,225.7,32.85,0.91,True
LHC,2026-01-08T16:00:00,12.29,227.12,31.24,0.95,True
LHC,2026-01-08T17:00:00,7.76,232.65,19.25,0.96,False
LHC,2026-01-08T18:00:00,4.56,226.02,11.65,0.94,False
LHC,2026-01-08T19:00:00,4.2,231.86,10.45,0.9,False
LHC,2026-01-08T20:00:00,3.58,229.22,9.01,0.96,False
LHC,2026-01-08T21:00:00,2.9,231.69,7.23,0.91,False
LHC,2026-01-08T22:00:00,2.19,227.84,5.54,0.93,False
LHC,2026-01-08T23:00:00,1.92,231.45,4.8,0.98,False
LHC,2026-01-09T00:00:00,2.11,228.01,5.34,0.93,False
LHC,2026-01-09T01:00:00,1.64,218.37,4.33,0.97,False
LHC,2026-01-09T02:00:00,1.18,234.98,2.9,0.94,False
LHC,2026-01-09T03:00:00,1.13,218.55,2.98,0.96,False
LHC,2026-01-09T04:00:00,1.52,225.6,3.89,0.89,False
LHC,2026-01-09T05:00:00,1.6,229.94,4.03,0.95,False
LHC,2026-01-09T06:00:00,3.2,237.92,7.76,0.95,False
LHC,2026-01-09T07:00:00,5.7,228.24,14.42,0.91,False
LHC,2026-01-09T08:00:00,8.43,239.2,20.36,0.91,False
LHC,2026-01-09T09:00:00,11.79,218.78,31.11,0.94,False
LHC,2026-01-09T10:00:00,16.36,225.33,41.92,0.99,True
LHC,2026-01-09T11:00:00,14.84,217.14,39.46,0.91,True
LHC,2026-01-09T12:00:00,17.04,240.0,40.99,0.94,True
LHC,2026-01-09T13:00:00,16.98,224.11,43.75,0.9,True
LHC,2026-01-09T14:00:00,12.66,226.97,32.21,0.94,True
LHC,2026-01-09T15:00:00,14.09,234.34,34.73,0.89,True
LHC,2026-01-09T16:00:00,11.46,231.02,28.63,0.9,True
LHC,2026-01-09T17:00:00,10.2,226.86,25.96,0.91,False
LHC,2026-01-09T18:00:00,6.37,228.05,16.12,0.88,False
LHC,2026-01-09T19:00:00,4.21,232.69,10.45,0.88,False
LHC,2026-01-09T20:00:00,4.28,226.55,10.91,0.94,False
LHC,2026-01-09T21:00:00,2.92,225.42,7.49,0.93,False
LHC,2026-01-09T22:00:00,2.67,228.76,6.74,0.92,False
LHC,2026-01-09T23:00:00,2.3,234.2,5.66,0.92,False
LHC,2026-01-10T00:00:00,0.69,223.4,1.77,0.94,False
LHC,2026-01-10T01:00:00,0.54,235.4,1.33,0.86,False
LHC,2026-01-10T02:00:00,0.5,232.58,1.24,0.9,False
LHC,2026-01-10T03:00:00,0.5,230.0,1.26,0.92,False
LHC,2026-01-10T04:00:00,0.5,230.75,1.25,0.9,False
LHC,2026-01-10T05:00:00,0.58,229.43,1.46,0.92,False
LHC,2026-01-10T06:00:00,0.99,224.46,2.56,0.96,False
LHC,2026-01-10T07:00:00,0.81,219.61,2.13,0.88,False
LHC,2026-01-10T08:00:00,1.24,231.02,3.11,0.93,False
LHC,2026-01-10T09:00:00,2.02,229.25,5.09,0.94,False
LHC,2026-01-10T10:00:00,2.56,223.37,6.63,0.91,False
LHC,2026-01-10T11:00:00,2.6,232.43,6.45,0.9,False
LHC,2026-01-10T12:00:00,2.73,230.15,6.85,0.9,False
LHC,2026-01-10T13:00:00,2.46,230.49,6.16,0.92,False
LHC,2026-01-10T14:00:00,2.5,224.73,6.43,0.91,False
LHC,2026-01-10T15:00:00,2.02,234.07,4.99,0.89,False
LHC,2026-01-10T16:00:00,1.75,231.26,4.37,0.97,False
LHC,2026-01-10T17:00:00,1.26,226.71,3.22,0.89,False
LHC,2026-01-10T18:00:00,1.07,238.82,2.59,0.88,False
LHC,2026-01-10T19:00:00,0.96,236.58,2.35,0.87,False
LHC,2026-01-10T20:00:00,1.02,222.93,2.64,0.96,False
LHC,2026-01-10T21:00:00,0.74,221.23,1.93,0.9,False
LHC,2026-01-10T22:00:00,0.89,229.85,2.23,0.91,False
LHC,2026-01-10T23:00:00,0.84,240.78,2.01,0.94,False
LHC,2026-01-11T00:00:00,0.73,235.76,1.78,0.92,False
LHC,2026-01-11T01:00:00,0.59,229.96,1.48,0.96,False
LHC,2026-01-11T02:00:00,0.5,226.6,1.27,0.97,False
LHC,2026-01-11T03:00:00,0.5,225.51,1.28,0.89,False
LHC,2026-01-11T04:00:00,0.5,234.22,1.23,0.92,False
LHC,2026-01-11T05:00:00,0.63,235.93,1.55,0.93,False
LHC,2026-01-11T06:00:00,0.89,227.52,2.26,0.86,False
LHC,2026-01-11T07:00:00,0.92,230.74,2.31,0.91,False
LHC,2026-01-11T08:00:00,1.42,229.38,3.58,0.94,False
LHC,2026-01-11T09:00:00,2.24,229.36,5.64,0.94,False
LHC,2026-01-11T10:00:00,2.01,229.38,5.05,0.88,False
LHC,2026-01-11T11:00:00,2.56,231.18,6.41,0.93,False
LHC,2026-01-11T12:00:00,2.57,241.49,6.14,0.88,False
LHC,2026-01-11T13:00:00,2.27,238.27,5.49,0.9,False
LHC,2026-01-11T14:00:00,2.16,241.51,5.16,0.95,False
LHC,2026-01-11T15:00:00,1.91,231.09,4.76,0.98,False
LHC,2026-01-11T16:00:00,1.76,236.43,4.3,0.94,False
LHC,2026-01-11T17:00:00,1.43,230.2,3.6,0.92,False
LHC,2026-01-11T18:00:00,1.23,233.67,3.03,0.91,False
LHC,2026-01-11T19:00:00,1.01,228.45,2.55,0.92,False
LHC,2026-01-11T20:00:00,0.84,243.03,2.0,0.9,False
LHC,2026-01-11T21:00:00,0.84,225.9,2.15,0.94,False
LHC,2026-01-11T22:00:00,0.79,225.18,2.02,0.94,False
LHC,2026-01-11T23:00:00,0.78,229.67,1.96,0.9,False
LHC,2026-01-12T00:00:00,1.9,228.45,4.79,0.93,False
LHC,2026-01-12T01:00:00,1.58,236.28,3.85,0.89,False
LHC,2026-01-12T02:00:00,1.45,227.8,3.68,0.96,False
LHC,2026-01-12T03:00:00,1.5,235.16,3.68,0.88,False
LHC,2026-01-12T04:00:00,1.51,234.45,3.71,0.92,False
LHC,2026-01-12T05:00:00,1.78,227.41,4.51,0.96,False
LHC,2026-01-12T06:00:00,3.88,228.19,9.81,0.91,False
LHC,2026-01-12T07:00:00,6.4,237.9,15.53,0.9,False
LHC,2026-01-12T08:00:00,8.7,228.59,21.99,0.88,False
LHC,2026-01-12T09:00:00,11.38,224.98,29.21,0.9,False
LHC,2026-01-12T10:00:00,14.7,231.17,36.71,0.97,True
LHC,2026-01-12T11:00:00,14.32,234.92,35.19,0.91,True
LHC,2026-01-12T12:00:00,16.31,233.37,40.36,0.89,True
LHC,2026-01-12T13:00:00,16.54,230.83,41.37,0.93,True
LHC,2026-01-12T14:00:00,15.92,242.28,37.94,0.9,True
LHC,2026-01-12T15:00:00,14.11,226.88,35.92,0.9,True
LHC,2026-01-12T16:00:00,12.43,235.95,30.43,0.96,True
LHC,2026-01-12T17:00:00,9.38,225.84,23.98,0.93,False
LHC,2026-01-12T18:00:00,6.26,233.16,15.51,0.93,False
LHC,2026-01-12T19:00:00,4.32,237.74,10.49,0.97,False
LHC,2026-01-12T20:00:00,3.89,228.06,9.86,0.93,False
LHC,2026-01-12T21:00:00,3.36,233.29,8.32,0.98,False
LHC,2026-01-12T22:00:00,2.58,226.01,6.6,0.88,False
LHC,2026-01-12T23:00:00,2.16,229.83,5.42,0.97,False
LHC,2026-01-13T00:00:00,1.85,235.15,4.54,0.92,False
LHC,2026-01-13T01:00:00,1.64,232.72,4.07,0.98,False
LHC,2026-01-13T02:00:00,1.43,233.19,3.53,0.95,False
LHC,2026-01-13T03:00:00,1.39,226.81,3.53,0.91,False
LHC,2026-01-13T04:00:00,1.33,225.25,3.41,0.93,False
LHC,2026-01-13T05:00:00,1.46,230.97,3.64,0.92,False
LHC,2026-01-13T06:00:00,3.06,232.78,7.59,0.9,False
LHC,2026-01-13T07:00:00,5.65,237.84,13.71,0.93,False
